Name,years.appearing,count.male,count.female,prob.gender,obs.male
94,Aaliayh,7,0,47,Female,0
95,Aalicia,1,0,5,Female,0
96,Aaliha,2,0,12,Female,0
97,Aalijah,15,123,84,Female,0.594202898550725
98,Aalim,3,20,0,Male,1
99,Aalina,3,0,20,Female,0
100,Aalisha,4,0,22,Female,0
101,Aalivia,5,0,30,Female,0
102,Aaliya,20,0,845,Female,0
103,Aaliyah,37,67,59716,Female,0.00112071993710587
104,Aaliyaha,4,0,21,Female,0
105,Aaliyahmarie,3,0,16,Female,0
106,Aaliyahrose,1,0,5,Female,0
107,Aaliyan,12,0,89,Female,0
108,Aaliyana,9,0,75,Female,0
109,Aaliyha,19,0,389,Female,0
110,Aaliyiah,5,0,31,Female,0
111,Aalliyah,16,0,156,Female,0
112,Aallyah,1,0,5,Female,0
113,Aalok,2,10,0,Male,1
114,Aalon,1,5,0,Male,1
115,Aalya,3,0,16,Female,0
116,Aalyah,19,0,553,Female,0
117,Aalycia,4,0,25,Female,0
118,Aalyha,3,0,19,Female,0
119,Aalyia,1,0,5,Female,0
120,Aalyiah,19,0,594,Female,0
121,Aalysia,1,0,6,Female,0
122,Aalyssa,13,0,104,Female,0
123,Aalyvia,1,0,5,Female,0
124,Aamanda,2,0,10,Female,0
125,Aamani,11,0,108,Female,0
126,Aamar,1,5,0,Male,1
127,Aamari,11,68,56,Male,0.548387096774194
128,Aamarion,2,10,0,Male,1
129,Aamaya,1,0,5,Female,0
130,Aamber,2,0,14,Female,0
131,Aamena,2,0,10,Female,0
132,Aamer,5,25,0,Male,1
133,Aamia,2,0,11,Female,0
134,Aamil,2,11,0,Male,1
135,Aamilah,1,0,13,Female,0
136,Aamina,19,0,200,Female,0
137,Aaminah,21,0,218,Female,0
138,Aamir,36,1177,0,Male,1
139,Aamira,9,0,153,Female,0
140,Aamirah,11,0,116,Female,0
141,Aamiya,4,0,31,Female,0
142,Aamiyah,12,0,255,Female,0
143,Aamna,17,0,171,Female,0
144,Aamoni,2,0,10,Female,0
145,Aamori,9,0,81,Female,0
146,Aamya,11,0,116,Female,0
147,Aamyah,7,0,40,Female,0
148,Aana,1,0,7,Female,0
149,Aanand,1,5,0,Male,1
150,Aanav,1,6,0,Male,1
151,Aanchal,9,0,67,Female,0
152,Aania,5,0,31,Female,0
153,Aaniah,5,0,33,Female,0
154,Aanijah,1,0,5,Female,0
155,Aanika,12,0,185,Female,0
156,Aanisah,7,0,39,Female,0
157,Aaniya,13,0,223,Female,0
158,Aaniyah,15,0,888,Female,0
159,Aansh,1,5,0,Male,1
160,Aanshi,3,0,23,Female,0
161,Aanvi,6,0,48,Female,0
162,Aanya,15,0,1438,Female,0
163,Aanyah,10,0,71,Female,0
164,Aapri,1,0,5,Female,0
165,Aaqib,4,22,0,Male,1
166,Aaqil,2,16,0,Male,1
167,Aara,4,0,27,Female,0
168,Aarabella,1,0,5,Female,0
169,Aaradhana,1,0,5,Female,0
170,Aaradhya,1,0,38,Female,0
171,Aaralyn,10,0,779,Female,0
172,Aaralynn,8,0,158,Female,0
173,Aaran,21,154,0,Male,1
174,Aaraon,1,5,0,Male,1
175,Aaratrika,1,0,5,Female,0
176,Aarav,11,2243,0,Male,1
177,Aaren,40,670,282,Female,0.703781512605042
178,Aareon,7,32,10,Male,0.761904761904762
179,Aareona,1,0,7,Female,0
180,Aaria,10,0,93,Female,0
181,Aariah,11,0,125,Female,0
182,Aarian,9,44,27,Male,0.619718309859155
183,Aariana,18,0,301,Female,0
184,Aarianna,14,0,144,Female,0
185,Aarib,3,21,0,Male,1
186,Aaric,28,341,0,Male,1
187,Aarica,13,0,95,Female,0
188,Aarick,4,22,0,Male,1
189,Aariel,18,0,138,Female,0
190,Aarielle,2,0,13,Female,0
191,Aarik,14,105,0,Male,1
192,Aarika,31,0,678,Female,0
193,Aarilyn,6,0,60,Female,0
194,Aarin,37,397,290,Male,0.577874818049491
195,Aarini,5,0,35,Female,0
196,Aarion,29,386,128,Female,0.750972762645914
197,Aariona,18,0,209,Female,0
198,Aarionna,15,0,115,Female,0
199,Aaris,6,22,16,Male,0.578947368421053
200,Aarish,6,53,0,Male,1
201,Aarit,6,52,0,Male,1
202,Aariv,5,55,0,Male,1
203,Aariya,5,0,40,Female,0
204,Aariyah,10,0,208,Female,0
205,Aariyana,7,0,60,Female,0
206,Aariyanna,2,0,14,Female,0
207,Aariyona,1,0,5,Female,0
208,Aariyonna,1,0,5,Female,0
209,Aariz,9,282,0,Male,1
210,Aarjav,2,15,0,Male,1
211,Aarn,3,17,0,Male,1
212,Aarna,8,0,515,Female,0
213,Aarnav,10,270,0,Male,1
214,Aarnavi,2,0,10,Female,0
215,Aarne,2,10,0,Male,1
216,Aaro,1,10,0,Male,1
217,Aarohan,1,5,0,Male,1
218,Aarohi,11,0,117,Female,0
219,Aaron,133,538832,4194,Male,0.992276612906196
220,Aarona,1,0,5,Female,0
221,Aaronae,1,0,5,Female,0
222,Aaronda,1,0,5,Female,0
223,Aaronette,2,0,11,Female,0
224,Aaronisha,1,0,6,Female,0
225,Aaronjacob,1,5,0,Male,1
226,Aaronjames,14,95,0,Male,1
227,Aaronjohn,4,21,0,Male,1
228,Aaronjoseph,1,7,0,Male,1
229,Aaronjosh,1,5,0,Male,1
230,Aaronjoshua,2,10,0,Male,1
231,Aaronlee,1,5,0,Male,1
232,Aaronmichael,10,74,0,Male,1
233,Aaronn,4,22,0,Male,1
234,Aaroosh,1,6,0,Male,1
235,Aarren,1,5,0,Male,1
236,Aarron,49,1183,0,Male,1
237,Aarsh,5,28,0,Male,1
238,Aarshi,1,0,5,Female,0
239,Aarshiya,1,0,5,Female,0
240,Aarthi,15,0,104,Female,0
241,Aarti,39,0,421,Female,0
242,Aarush,11,1125,0,Male,1
243,Aarushi,14,0,502,Female,0
244,Aarvi,2,0,13,Female,0
245,Aarya,13,220,606,Female,0.26634382566586
246,Aaryah,4,0,25,Female,0
247,Aaryan,12,758,0,Male,1
248,Aaryana,10,0,76,Female,0
249,Aaryanna,14,0,178,Female,0
250,Aaryav,3,31,0,Male,1
251,Aaryn,40,535,794,Female,0.402558314522197
252,Aaryon,1,5,0,Male,1
253,Aaryona,1,0,5,Female,0
254,Aasha,22,0,226,Female,0
255,Aashana,1,0,5,Female,0
256,Aashay,3,18,0,Male,1
257,Aashi,11,0,337,Female,0
258,Aashia,1,0,6,Female,0
259,Aashika,6,0,38,Female,0
260,Aashini,1,0,5,Female,0
261,Aashir,10,68,0,Male,1
262,Aashirya,1,0,5,Female,0
263,Aashish,18,127,0,Male,1
264,Aashita,1,0,6,Female,0
265,Aashiyana,1,0,5,Female,0
266,Aashka,14,0,101,Female,0
267,Aashna,20,0,465,Female,0
268,Aashni,5,0,33,Female,0
269,Aashrita,2,0,21,Female,0
270,Aashrith,6,70,0,Male,1
271,Aashritha,6,0,81,Female,0
272,Aashvi,9,0,82,Female,0
273,Aasia,20,0,175,Female,0
274,Aasim,20,164,0,Male,1
275,Aasin,8,52,0,Male,1
276,Aasir,3,19,0,Male,1
277,Aasiya,12,0,106,Female,0
278,Aasiyah,16,0,309,Female,0
279,Aason,2,10,0,Male,1
280,Aastha,14,0,234,Female,0
281,Aathan,1,5,0,Male,1
282,Aatif,2,10,0,Male,1
283,Aatish,2,11,0,Male,1
284,Aava,6,0,48,Female,0
285,Aavah,1,0,6,Female,0
286,Aaven,4,25,0,Male,1
287,Aavi,1,7,0,Male,1
288,Aavin,1,5,0,Male,1
289,Aavion,2,10,0,Male,1
290,Aavyn,1,0,5,Female,0
291,Aaya,6,0,38,Female,0
292,Aayaan,3,19,0,Male,1
293,Aayah,4,0,24,Female,0
294,Aayan,10,650,0,Male,1
295,Aayana,11,0,90,Female,0
296,Aayanah,2,0,10,Female,0
297,Aayanna,7,0,38,Female,0
298,Aayat,1,0,23,Female,0
299,Aaydan,1,6,0,Male,1
300,Aayden,10,670,5,Male,0.992592592592593
301,Aayla,8,0,222,Female,0
302,Aaylah,4,0,27,Female,0
303,Aayliah,8,0,58,Female,0
304,Aayush,16,809,0,Male,1
305,Aayushi,13,0,164,Female,0
306,Aazan,1,5,0,Male,1
307,Aazim,1,10,0,Male,1
308,Aaziyah,1,0,9,Female,0
309,Ab,26,344,0,Male,1
310,Aba,5,5,22,Female,0.185185185185185
311,Abaan,2,10,0,Male,1
312,Abad,12,77,0,Male,1
313,Abagael,20,0,205,Female,0
314,Abagail,47,0,5082,Female,0
315,Abagaile,3,0,15,Female,0
316,Abagale,22,0,340,Female,0
317,Abagayle,18,0,317,Female,0
318,Abaigael,2,0,13,Female,0
319,Abaigail,2,0,10,Female,0
320,Abaigeal,23,0,293,Female,0
321,Aban,2,10,0,Male,1
322,Abanoub,15,109,0,Male,1
323,Abas,7,53,0,Male,1
324,Abasi,6,40,0,Male,1
325,Abass,9,55,0,Male,1
326,Abayomi,29,215,0,Male,1
327,Abb,16,96,0,Male,1
328,Abba,3,12,6,Male,0.666666666666667
329,Abbaas,1,5,0,Male,1
330,Abbagail,28,0,757,Female,0
331,Abbagale,14,0,124,Female,0
332,Abbagayle,15,0,104,Female,0
333,Abbas,38,902,0,Male,1
334,Abbe,60,0,1319,Female,0
335,Abbee,19,0,153,Female,0
336,Abbegail,21,0,246,Female,0
337,Abbegale,12,0,82,Female,0
338,Abbegayle,10,0,73,Female,0
339,Abbey,78,35,16358,Female,0.00213505764655646
340,Abbeygail,9,0,56,Female,0
341,Abbeygale,3,0,22,Female,0
342,Abbi,44,0,1862,Female,0
343,Abbie,133,325,20381,Female,0.0156959335458321
344,Abbiegail,17,0,211,Female,0
345,Abbiegale,8,0,58,Female,0
346,Abbiegayle,2,0,13,Female,0
347,Abbigael,17,0,148,Female,0
348,Abbigail,48,5,10112,Female,0.000494217653454581
349,Abbigaile,10,0,85,Female,0
350,Abbigal,15,0,138,Female,0
351,Abbigale,29,0,1883,Female,0
352,Abbigayl,5,0,29,Female,0
353,Abbigayle,27,0,1176,Female,0
354,Abbilyn,2,0,12,Female,0
355,Abbot,2,12,0,Male,1
356,Abbott,71,730,10,Male,0.986486486486487
357,Abbra,4,0,36,Female,0
358,Abbriella,2,0,12,Female,0
359,Abbrielle,11,0,83,Female,0
360,Abby,127,181,53649,Female,0.00336243730261936
361,Abbye,23,0,184,Female,0
362,Abbygael,9,0,62,Female,0
363,Abbygail,27,0,2710,Female,0
364,Abbygaile,6,0,39,Female,0
365,Abbygale,20,0,660,Female,0
366,Abbygayl,1,0,6,Female,0
367,Abbygayle,18,0,396,Female,0
368,Abbylynn,2,0,12,Female,0
369,Abcde,18,0,312,Female,0
370,Abd,3,17,0,Male,1
371,Abdala,1,6,0,Male,1
372,Abdalah,1,6,0,Male,1
373,Abdalla,23,232,0,Male,1
374,Abdallah,36,969,0,Male,1
375,Abdalrahman,14,113,0,Male,1
376,Abdalrhman,1,5,0,Male,1
377,Abdel,40,477,0,Male,1
378,Abdelaziz,12,81,0,Male,1
379,Abdelhadi,1,5,0,Male,1
380,Abdelkareem,2,10,0,Male,1
381,Abdelkarim,5,27,0,Male,1
382,Abdellah,3,17,0,Male,1
383,Abdelrahman,24,459,0,Male,1
384,Abdelrhman,1,6,0,Male,1
385,Abderrahman,1,5,0,Male,1
386,Abdi,15,210,10,Male,0.954545454545455
387,Abdias,29,431,0,Male,1
388,Abdiasis,1,6,0,Male,1
389,Abdiaziz,10,85,0,Male,1
390,Abdiel,37,2664,0,Male,1
391,Abdifatah,13,139,0,Male,1
392,Abdihakim,3,16,0,Male,1
393,Abdihamid,1,5,0,Male,1
394,Abdikadir,8,89,0,Male,1
395,Abdikarim,3,15,0,Male,1
396,Abdikhaliq,1,5,0,Male,1
397,Abdilahi,2,10,0,Male,1
398,Abdimalik,12,112,0,Male,1
399,Abdinasir,14,117,0,Male,1
400,Abdiqani,1,6,0,Male,1
401,Abdirahim,5,45,0,Male,1
402,Abdirahman,19,1038,0,Male,1
403,Abdirashid,3,22,0,Male,1
404,Abdirisaq,1,6,0,Male,1
405,Abdirizak,7,50,0,Male,1
406,Abdisalam,1,5,0,Male,1
407,Abdisalan,1,6,0,Male,1
408,Abdisamad,1,6,0,Male,1
409,Abdishakur,4,30,0,Male,1
410,Abdiwahab,2,14,0,Male,1
411,Abdiwali,1,5,0,Male,1
412,Abdo,6,35,0,Male,1
413,Abdon,46,338,0,Male,1
414,Abdou,19,175,0,Male,1
415,Abdoul,20,334,0,Male,1
416,Abdoulaye,21,492,0,Male,1
417,Abdoulaziz,2,10,0,Male,1
418,Abdoulie,13,110,0,Male,1
419,Abdourahman,1,5,0,Male,1
420,Abdourahmane,3,18,0,Male,1
421,Abdrahman,2,10,0,Male,1
422,Abdrew,1,6,0,Male,1
423,Abdu,5,32,0,Male,1
424,Abdual,3,17,0,Male,1
425,Abduallah,4,21,0,Male,1
426,Abduel,1,5,0,Male,1
427,Abdul,73,5125,0,Male,1
428,Abdula,6,39,0,Male,1
429,Abdulah,12,75,0,Male,1
430,Abdulahad,5,32,0,Male,1
431,Abdulahi,17,296,0,Male,1
432,Abdulai,9,65,0,Male,1
433,Abdulaye,1,5,0,Male,1
434,Abdulazeem,1,5,0,Male,1
435,Abdulazeez,4,25,0,Male,1
436,Abdulaziz,33,789,0,Male,1
437,Abdulbari,1,5,0,Male,1
438,Abdulbasit,2,13,0,Male,1
439,Abdule,1,6,0,Male,1
440,Abdulelah,2,15,0,Male,1
441,Abdulhadi,8,57,0,Male,1
442,Abdulhakeem,4,30,0,Male,1
443,Abdulhakim,3,16,0,Male,1
444,Abdulhalim,1,5,0,Male,1
445,Abdulhameed,1,5,0,Male,1
446,Abdulhamid,7,46,0,Male,1
447,Abduljabbar,2,11,0,Male,1
448,Abduljaleel,1,5,0,Male,1
449,Abduljalil,1,5,0,Male,1
450,Abdulkadir,11,87,0,Male,1
451,Abdulkareem,17,134,0,Male,1
452,Abdulkarim,14,97,0,Male,1
453,Abdull,1,5,0,Male,1
454,Abdulla,32,370,0,Male,1
455,Abdullah,52,4914,0,Male,1
456,Abdullahi,19,861,0,Male,1
457,Abdullatif,4,22,0,Male,1
458,Abdulloh,1,6,0,Male,1
459,Abdulmajeed,2,12,0,Male,1
460,Abdulmajid,2,10,0,Male,1
461,Abdulmalek,1,5,0,Male,1
462,Abdulmalik,23,279,0,Male,1
463,Abdulnasir,1,5,0,Male,1
464,Abdulqadir,4,25,0,Male,1
465,Abdulraheem,10,69,0,Male,1
466,Abdulrahim,11,69,0,Male,1
467,Abdulrahman,33,1411,0,Male,1
468,Abdulrehman,6,35,0,Male,1
469,Abdulrhman,2,12,0,Male,1
470,Abdulsalam,3,15,0,Male,1
471,Abdulsamad,1,5,0,Male,1
472,Abdulwadud,1,5,0,Male,1
473,Abdulwahab,12,97,0,Male,1
474,Abdulwahid,2,10,0,Male,1
475,Abdur,29,226,0,Male,1
476,Abdurahman,16,239,0,Male,1
477,Abdurraheem,1,7,0,Male,1
478,Abdurrahim,4,27,0,Male,1
479,Abdurrahmaan,1,5,0,Male,1
480,Abdurrahman,27,575,0,Male,1
481,Abdurrehman,4,22,0,Male,1
482,Abdussamad,1,6,0,Male,1
483,Abe,133,8807,0,Male,1
484,Abeal,1,5,0,Male,1
485,Abed,23,182,0,Male,1
486,Abedallah,3,16,0,Male,1
487,Abedalrahman,2,11,0,Male,1
488,Abednego,8,48,0,Male,1
489,Abeeha,6,0,49,Female,0
490,Abeer,40,7,470,Female,0.0146750524109015
491,Abeera,3,0,20,Female,0
492,Abegail,28,0,455,Female,0
493,Abegale,1,0,5,Female,0
494,Abegayle,4,0,23,Female,0
495,Abel,133,36346,90,Male,0.997529915468218
496,Abela,1,0,6,Female,0
497,Abelardo,99,4086,0,Male,1
498,Abelina,64,0,480,Female,0
499,Abelino,94,814,0,Male,1
500,Abell,3,11,5,Male,0.6875
501,Abella,11,0,342,Female,0
502,Abem,3,26,0,Male,1
503,Aben,1,7,0,Male,1
504,Abena,39,0,507,Female,0
505,Abenezer,9,77,0,Male,1
506,Abeni,29,0,345,Female,0
507,Aber,1,0,5,Female,0
508,Aberdeen,9,0,55,Female,0
509,Aberham,5,25,0,Male,1
510,Abernathy,3,0,21,Female,0
511,Abert,3,15,0,Male,1
512,Abery,1,0,7,Female,0
513,Abey,4,10,17,Female,0.37037037037037
514,Abgail,4,0,22,Female,0
515,Abha,6,0,40,Female,0
516,Abhay,22,468,0,Male,1
517,Abheek,1,7,0,Male,1
518,Abhi,15,183,0,Male,1
519,Abhigna,3,0,17,Female,0
520,Abhijay,12,90,0,Male,1
521,Abhijeet,6,45,0,Male,1
522,Abhijit,6,37,0,Male,1
523,Abhijot,3,19,0,Male,1
524,Abhik,2,10,0,Male,1
525,Abhilash,4,22,0,Male,1
526,Abhimanyu,14,121,0,Male,1
527,Abhinav,22,1417,0,Male,1
528,Abhinay,1,5,0,Male,1
529,Abhiraj,6,43,0,Male,1
530,Abhiram,16,535,0,Male,1
531,Abhirup,2,10,0,Male,1
532,Abhishek,31,739,0,Male,1
533,Abi,34,22,413,Female,0.0505747126436782
534,Abia,7,0,57,Female,0
535,Abiageal,10,0,105,Female,0
536,Abiah,2,0,14,Female,0
537,Abian,1,5,0,Male,1
538,Abianna,1,0,5,Female,0
539,Abibail,1,0,6,Female,0
540,Abid,29,280,0,Male,1
541,Abida,4,0,24,Female,0
542,Abidan,2,10,0,Male,1
543,Abie,72,625,67,Male,0.903179190751445
544,Abiegail,3,0,15,Female,0
545,Abiel,40,809,18,Male,0.978234582829504
546,Abiela,3,0,15,Female,0
547,Abiella,3,0,16,Female,0
548,Abiezer,1,7,0,Male,1
549,Abigael,31,5,1411,Female,0.00353107344632768
550,Abigaelle,7,0,55,Female,0
551,Abigahil,7,0,42,Female,0
552,Abigai,1,0,6,Female,0
553,Abigail,133,570,296946,Female,0.00191586334852579
554,Abigaile,22,0,517,Female,0
555,Abigailgrace,1,0,5,Female,0
556,Abigaille,4,0,21,Female,0
557,Abigailmarie,1,0,5,Female,0
558,Abigal,34,0,679,Female,0
559,Abigale,45,0,4912,Female,0
560,Abigayil,4,0,21,Female,0
561,Abigayl,20,0,310,Female,0
562,Abigayle,39,5,5360,Female,0.000931966449207828
563,Abigeal,3,0,15,Female,0
564,Abigel,5,0,25,Female,0
565,Abigial,18,0,143,Female,0
566,Abiha,6,0,58,Female,0
567,Abihail,4,0,29,Female,0
568,Abijah,22,191,34,Male,0.848888888888889
569,Abilene,27,0,705,Female,0
570,Abilgail,4,0,28,Female,0
571,Abilio,1,5,0,Male,1
572,Abimael,42,918,0,Male,1
573,Abimbola,14,5,79,Female,0.0595238095238095
574,Abimelec,7,43,0,Male,1
575,Abin,1,5,0,Male,1
576,Abinadab,1,5,0,Male,1
577,Abinadi,4,22,0,Male,1
578,Abinav,4,24,0,Male,1
579,Abinaya,7,0,43,Female,0
580,Abiodun,3,18,0,Male,1
581,Abiola,22,39,125,Male,0.23780487804878
582,Abiona,2,0,14,Female,0
583,Abir,24,176,92,Male,0.656716417910448
584,Abira,2,0,10,Female,0
585,Abiram,2,12,0,Male,1
586,Abirami,5,0,31,Female,0
587,Abisag,3,0,16,Female,0
588,Abisai,26,691,0,Male,1
589,Abish,3,0,17,Female,0
590,Abisha,4,0,26,Female,0
591,Abishai,13,112,12,Male,0.903225806451613
592,Abishek,7,50,0,Male,1
593,Abisola,12,0,74,Female,0
594,Abiud,1,6,0,Male,1
595,Abiyah,1,0,5,Female,0
596,Abla,2,0,11,Female,0
597,Able,67,710,0,Male,1
598,Abnel,1,6,0,Male,1
599,Abner,133,6634,0,Male,1
600,Abney,3,5,10,Male,0.333333333333333
601,Abony,7,0,43,Female,0
602,Abou,10,63,0,Male,1
603,Aboubacar,20,235,0,Male,1
604,Aboubakar,5,30,0,Male,1
605,Abra,52,0,866,Female,0
606,Abraam,6,42,0,Male,1
607,Abraar,1,5,0,Male,1
608,Abrah,4,0,22,Female,0
609,Abraham,133,76641,181,Male,0.997643904089974
610,Abrahan,39,873,0,Male,1
611,Abraheem,3,17,0,Male,1
612,Abrahem,5,30,0,Male,1
613,Abrahim,31,461,0,Male,1
614,Abrahm,39,519,0,Male,1
615,Abram,133,12300,0,Male,1
616,Abran,94,1843,0,Male,1
617,Abranda,1,0,5,Female,0
618,Abrar,26,267,277,Male,0.490808823529412
619,Abraxas,1,0,5,Female,0
620,Abrea,20,0,179,Female,0
621,Abreana,6,0,39,Female,0
622,Abreanna,21,0,245,Female,0
623,Abree,24,0,396,Female,0
624,Abreia,1,0,6,Female,0
625,Abren,1,6,0,Male,1
626,Abreona,1,0,6,Female,0
627,Abreonna,2,0,10,Female,0
628,Abrey,13,0,110,Female,0
629,Abreya,1,0,5,Female,0
630,Abrham,17,126,0,Male,1
631,Abri,8,0,108,Female,0
632,Abria,26,0,741,Female,0
633,Abriah,3,0,15,Female,0
634,Abrial,14,0,115,Female,0
635,Abriam,1,5,0,Male,1
636,Abrian,28,229,5,Male,0.978632478632479
637,Abriana,25,0,2061,Female,0
638,Abrianna,27,0,3273,Female,0
639,Abriannah,1,0,6,Female,0
640,Abrianne,3,0,15,Female,0
641,Abrie,13,0,181,Female,0
642,Abriel,29,204,543,Male,0.273092369477912
643,Abriela,5,0,29,Female,0
644,Abriele,1,0,5,Female,0
645,Abriella,13,0,691,Female,0
646,Abrielle,28,0,2364,Female,0
647,Abrien,4,27,0,Male,1
648,Abrienne,2,0,10,Female,0
649,Abrigail,5,0,26,Female,0
650,Abril,42,5,6099,Female,0.00081913499344692
651,Abrille,2,0,10,Female,0
652,Abrina,19,0,140,Female,0
653,Abrion,1,6,0,Male,1
654,Abriona,3,0,15,Female,0
655,Abrionna,8,0,49,Female,0
656,Abriya,4,0,22,Female,0
657,Abriyah,1,0,6,Female,0
658,Abriyana,1,0,6,Female,0
659,Abrom,1,6,0,Male,1
660,Abron,38,254,0,Male,1
661,Abrum,4,22,0,Male,1
662,Abryana,16,0,145,Female,0
663,Abryanna,17,0,202,Female,0
664,Abryelle,4,0,25,Female,0
665,Abryl,2,0,14,Female,0
666,Absalom,20,131,0,Male,1
667,Absalon,5,33,0,Male,1
668,Abshir,6,37,0,Male,1
669,Absidy,3,0,17,Female,0
670,Abtin,1,6,0,Male,1
671,Abu,36,345,0,Male,1
672,Abubacar,2,14,0,Male,1
673,Abubakar,20,354,0,Male,1
674,Abubakarr,2,11,0,Male,1
675,Abubakary,2,10,0,Male,1
676,Abubaker,3,18,0,Male,1
677,Abubakr,18,203,0,Male,1
678,Abuk,4,0,24,Female,0
679,Abukar,3,22,0,Male,1
680,Abundio,31,203,0,Male,1
681,Aby,19,56,151,Female,0.270531400966184
682,Abyade,2,0,10,Female,0
683,Abyan,9,61,28,Female,0.685393258426966
684,Abygael,5,0,32,Female,0
685,Abygail,27,0,2041,Female,0
686,Abygaile,2,0,13,Female,0
687,Abygale,16,0,272,Female,0
688,Abygayle,14,0,129,Female,0
689,Abyssinia,2,0,13,Female,0
690,Ac,16,106,0,Male,1
691,Acacia,42,0,3275,Female,0
692,Acadia,25,0,584,Female,0
693,Acari,2,10,0,Male,1
694,Acasia,15,0,115,Female,0
695,Accacia,2,0,26,Female,0
696,Accalia,8,0,52,Female,0
697,Access,1,6,0,Male,1
698,Accie,1,5,0,Male,1
699,Accursio,1,5,0,Male,1
700,Ace,119,5160,5,Male,0.999031945788964
701,Acea,9,58,5,Male,0.920634920634921
702,Acein,1,5,0,Male,1
703,Acel,10,68,0,Male,1
704,Acelin,7,72,19,Female,0.791208791208791
705,Acelino,1,7,0,Male,1
706,Acelyn,14,0,246,Female,0
707,Acelynn,14,0,306,Female,0
708,Acen,9,152,0,Male,1
709,Acencion,5,27,0,Male,1
710,Aceon,2,13,0,Male,1
711,Acer,4,25,0,Male,1
712,Aceson,4,56,0,Male,1
713,Aceton,3,18,0,Male,1
714,Acey,61,402,5,Male,0.987714987714988
715,Aceyn,2,14,0,Male,1
716,Achai,1,6,0,Male,1
717,Achaia,11,0,62,Female,0
718,Achan,1,0,5,Female,0
719,Achante,6,0,35,Female,0
720,Achanti,1,0,5,Female,0
721,Achary,5,32,0,Male,1
722,Achazia,1,0,6,Female,0
723,Achel,6,0,39,Female,0
